Season ID,League ID,Season Start Date,Season End Date
1200,1,08/08/2015,17/05/2016
1365,1,13/08/2016,21/05/2017
1980,1,11/08/2017,13/05/2018
2993,1,10/08/2018,12/05/2019
1203,2,07/08/2015,07/05/2016
1368,2,05/08/2016,07/05/2017
1982,2,05/08/2017,28/05/2018
2995,2,03/08/2018,05/05/2019
1205,3,21/08/2015,15/05/2016
1369,3,19/08/2016,21/05/2017
1984,3,18/08/2017,20/05/2018
2996,3,17/08/2018,19/05/2019
1207,4,22/08/2015,15/05/2016
1371,4,20/08/2016,28/05/2017
1986,4,19/08/2017,20/05/2018
2998,4,18/08/2018,26/05/2019
1208,5,07/08/2015,14/05/2016
1373,5,12/08/2016,20/05/2017
1989,5,04/08/2017,20/05/2018
3001,5,10/08/2018,25/05/2019
1209,6,14/08/2015,14/05/2016
1374,6,26/08/2016,20/05/2017
1991,6,18/08/2017,21/05/2018
3003,6,24/08/2018,18/05/2019